,name,state,group,job_type,tags,createdAt,train_loss,train_auroc,train_step_loss,_wandb,val_loss,_timestamp,_step,_runtime,val_auroc,lr,c_th,seed,epochs,layers,act_name,c_metric,head_type,pool_type,batch_size,label_type,model_name,val_dst_path,train_dst_path,mlp_hidden_size,max_val_data_size,max_train_data_size,gradient_accumulation_steps,val_auroc_max,score_func,v_c_type
280,holographic-jawa-1244,finished,triviaqa_long,rougel,"['seed_777', 'soft']",2024-05-05T12:01:14,0.2873046875,0.9848438376938652,0.310546875,{'runtime': 1088},0.47532242063492064,1714911562.972213,1259,1090.256937980652,0.8633252919200549,0.0001,0.3,777,10,all,resid_post,rougel,mlp_small,last_ans,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/triviaqa_validation,cached_results/vicuna-7b-v1.1/long/triviaqa_train,,1000,20000,1,0.8706714580087451,,
281,sith-tie-fighter-1244,finished,triviaqa_long,rougel,"['seed_777', 'soft']",2024-05-05T12:01:14,0.60809375,0.846936765102115,0.55078125,{'runtime': 1085},0.6232018849206349,1714911559.9095635,1259,1086.98752951622,0.7939827612202844,0.0001,0.3,777,10,all,resid_post,rougel,mlp_small,mean_all,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/triviaqa_validation,cached_results/vicuna-7b-v1.1/long/triviaqa_train,,1000,20000,1,0.8036136100919736,,
282,scruffy-looking-droid-1241,finished,triviaqa_long,include,"['seed_777', 'soft']",2024-05-05T12:01:11,0.2922421875,0.9881421134503544,0.3359375,{'runtime': 1083},0.5776909722222222,1714911554.939989,1259,1084.6810381412506,0.732072342783907,0.0001,0.3,777,10,all,resid_post,include,mlp_small,mean_ans,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/triviaqa_validation,cached_results/vicuna-7b-v1.1/long/triviaqa_train,,1000,20000,1,0.7413425067978315,,
283,civilized-commander-1242,finished,triviaqa_long,include,"['seed_777', 'soft']",2024-05-05T12:01:13,0.62371875,0.7431689823407752,0.6328125,{'runtime': 1092},0.6442522321428571,1714911565.94549,1259,1093.7146451473236,0.6894863090805176,0.0001,0.3,777,10,all,resid_post,include,mlp_small,mean_all,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/triviaqa_validation,cached_results/vicuna-7b-v1.1/long/triviaqa_train,,1000,20000,1,0.6911944266440361,,
284,elegant-rancor-1232,finished,triviaqa_short,rougel,"['seed_777', 'soft']",2024-05-05T12:00:51,0.1828203125,0.9992264969059876,0.1533203125,{'runtime': 938},0.7712673611111112,1714911390.20692,1259,939.6313798427582,0.7250946179998716,0.0001,0.3,777,10,all,resid_post,rougel,mlp_small,attn_all_no_first,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/short/triviaqa_validation,cached_results/vicuna-7b-v1.1/short/triviaqa_train,,1000,20000,1,0.7331872634550003,,
285,rebel-republic-1231,finished,triviaqa_short,include,"['seed_777', 'soft']",2024-05-05T12:00:51,0.2954609375,0.9914813843478938,0.265625,{'runtime': 931},0.6109561011904762,1714911382.9042182,1259,933.4277012348176,0.7121511123889681,0.0001,0.3,777,10,all,resid_post,include,mlp_small,last_inp,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/short/triviaqa_validation,cached_results/vicuna-7b-v1.1/short/triviaqa_train,,1000,20000,1,0.7188968900157264,,
286,imperial-senate-1230,finished,triviaqa_short,include,"['seed_777', 'soft']",2024-05-05T12:00:50,0.1985625,0.9846135000577406,0.171875,{'runtime': 946},0.6830977182539683,1714911397.54292,1259,949.1770191192628,0.7112362830046484,0.0001,0.3,777,10,all,resid_post,include,mlp_small,attn_all_no_first,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/short/triviaqa_validation,cached_results/vicuna-7b-v1.1/short/triviaqa_train,,1000,20000,1,0.721667516151095,,
287,light-republic-1229,finished,triviaqa_short,rougel,"['seed_777', 'soft']",2024-05-05T12:00:49,0.3723125,0.9835714342857372,0.359375,{'runtime': 922},0.6276351686507936,1714911372.7373476,1259,924.463951587677,0.7290938321893642,0.0001,0.3,777,10,all,resid_post,rougel,mlp_small,last_inp,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/short/triviaqa_validation,cached_results/vicuna-7b-v1.1/short/triviaqa_train,,1000,20000,1,0.7365690551029572,,
288,carbonite-carrier-1227,finished,coqa_long,rougel,"['seed_777', 'soft']",2024-05-05T12:00:42,0.428734375,0.9931156293819438,0.44140625,{'runtime': 2249},0.5523681640625,1714912692.6895344,1259,2251.645137310028,0.7812695144385748,0.0001,0.3,777,10,all,resid_post,rougel,mlp_small,attn_all_no_first,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/coqa_validation,cached_results/vicuna-7b-v1.1/long/coqa_train,,1000,20000,1,0.7868390406912964,,
289,dark-shuttle-1226,finished,coqa_long,rougel,"['seed_777', 'soft']",2024-05-05T12:00:42,0.4375625,0.9929306439434796,0.451171875,{'runtime': 2227},0.52435302734375,1714912670.143683,1259,2229.0758979320526,0.8000286914988777,0.0001,0.3,777,10,all,resid_post,rougel,mlp_small,attn_token_all,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/coqa_validation,cached_results/vicuna-7b-v1.1/long/coqa_train,,1000,20000,1,0.8024843462557594,,
290,scruffy-looking-speeder-1223,finished,triviaqa_short,rougel,"['seed_777', 'soft']",2024-05-05T12:00:42,0.3302734375,0.99498847995392,0.302734375,{'runtime': 939},0.6075458829365079,1714911382.0552266,1259,941.1816756725312,0.7582129225736096,0.0001,0.3,777,10,all,resid_post,rougel,mlp_small,attn_token_all,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/short/triviaqa_validation,cached_results/vicuna-7b-v1.1/short/triviaqa_train,,1000,20000,1,0.7596121463852716,,
291,star-jawa-1228,finished,coqa_long,include,"['seed_777', 'soft']",2024-05-05T12:00:43,0.02982666015625,0.9996814564173016,0.0267333984375,{'runtime': 2231},2.5780029296875,1714912675.6996577,1259,2233.361439704895,0.6722447716015411,0.0001,0.3,777,10,all,resid_post,include,mlp_small,attn_all_no_first,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/coqa_validation,cached_results/vicuna-7b-v1.1/long/coqa_train,,1000,20000,1,0.7199367088607594,,
292,forgotten-bantha-1222,finished,coqa_long,include,"['seed_777', 'soft']",2024-05-05T12:00:41,0.22765625,0.999245247817367,0.232421875,{'runtime': 2238},0.55560302734375,1714912680.5995712,1259,2239.84263420105,0.7615403137039075,0.0001,0.3,777,10,all,resid_post,include,mlp_small,attn_token_all,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/coqa_validation,cached_results/vicuna-7b-v1.1/long/coqa_train,,1000,20000,1,0.7626152311502477,,
293,ancient-nerf-herder-1220,finished,coqa_long,include,"['seed_777', 'soft']",2024-05-05T12:00:37,0.55584375,0.8540391962313273,0.640625,{'runtime': 2246},0.6533203125,1714912684.7804058,1259,2248.329939842224,0.5867501375894331,0.0001,0.3,777,10,all,resid_post,include,mlp_small,mean_all,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/coqa_validation,cached_results/vicuna-7b-v1.1/long/coqa_train,,1000,20000,1,0.5880658365437536,,
294,light-fleet-1219,finished,triviaqa_short,rougel,"['seed_777', 'soft']",2024-05-05T12:00:37,0.3776953125,0.97125138500554,0.419921875,{'runtime': 919},0.6037636408730159,1714911356.760533,1259,920.899135351181,0.748091603053435,0.0001,0.3,777,10,all,resid_post,rougel,mlp_small,mean_ans,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/short/triviaqa_validation,cached_results/vicuna-7b-v1.1/short/triviaqa_train,,1000,20000,1,0.7523754730899994,,
295,holographic-nexu-1217,finished,coqa_long,rougel,"['seed_777', 'soft']",2024-05-05T12:00:35,0.443296875,0.9891505770682774,0.451171875,{'runtime': 2230},0.530517578125,1714912666.3109648,1259,2231.5980427265167,0.7723667111103609,0.0001,0.3,777,10,all,resid_post,rougel,mlp_small,last_ans,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/long/coqa_validation,cached_results/vicuna-7b-v1.1/long/coqa_train,,1000,20000,1,0.7837420465477376,,
296,rebel-jawa-1218,finished,coqa_short,rougel,"['seed_777', 'soft']",2024-05-05T12:00:36,0.437625,0.9758458921537592,0.40625,{'runtime': 2060},0.5460205078125,1714912497.3624508,1259,2063.471045732498,0.8035104669887279,0.0001,0.3,777,10,all,resid_post,rougel,mlp_small,last_ans,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/short/coqa_validation,cached_results/vicuna-7b-v1.1/short/coqa_train,,1000,20000,1,0.8103220611916264,,
297,carbonite-nexu-1215,finished,coqa_short,rougel,"['seed_777', 'soft']",2024-05-05T12:00:34,0.44928125,0.9897609382951528,0.43359375,{'runtime': 2072},0.55255126953125,1714912507.1682563,1259,2074.3655893802643,0.7947423510466988,0.0001,0.3,777,10,all,resid_post,rougel,mlp_small,attn_token_all,16,soft,vicuna-7b-v1.1,cached_results/vicuna-7b-v1.1/short/coqa_validation,cached_results/vicuna-7b-v1.1/short/coqa_train,,1000,20000,1,0.7983735909822867,,
